Year,Zip Code,Price,RegionID,City,State,Latitude,Longitude
2010,30512,138950.0,51023,Blairsville,Georgia,34.87101443740541,-84.00040850432433
2010,30528,119850.0,28306,Cleveland,Georgia,34.592668347343,-83.76030572399357
2010,30542,134850.0,8713,Flowery Branch,Georgia,34.17568285653105,-83.9010494777302
2010,30548,204500.0,11982,Hoschton,Georgia,34.08433545810811,-83.78558624234235
2010,30549,119250.0,12114,Jefferson,Georgia,34.109997479190746,-83.57920831791908
2010,30620,109200.0,50992,Bethlehem,Georgia,33.92933630190476,-83.77047600285715
2010,30736,137800.0,36029,Ringgold,Georgia,34.914786200126905,-85.14628785050762
2010,30746,145000.0,54600,Sugar Hill,Georgia,34.56005215641026,-85.01583356153846
2010,30809,207600.0,4622,Evans,Georgia,33.53273463187614,-82.20223418734062
2010,30813,130200.0,52353,Grovetown,Georgia,33.46660149839817,-82.20574236041189
2010,31005,143700.0,30522,Bonaire,Georgia,32.53801008014706,-83.61140745735294
2010,31008,130450.0,23898,Byron,Georgia,32.645429977261614,-83.74648844400978
2010,31313,98950.0,32048,Hinesville,Georgia,31.828072587673127,-81.61809458795014
2010,31558,151550.0,40706,Saint Marys,Georgia,30.766970477105264,-81.57215824868422
2010,32003,212500.0,396880,Hutchinson Island South,Florida,30.10573858571429,-81.71727049650146
2010,32043,206800.0,11553,Fruit Cove,Florida,30.000478170364236,-81.7291906857616
2010,32127,134600.0,33498,Port Orange,Florida,29.112000267293183,-80.98693700684977
2010,32132,75350.0,51849,Edgewater,Florida,28.979409096181275,-80.9135924142397
2010,32162,178450.0,7403,The Villages,Florida,28.9220256359116,-81.98501302292817
2010,32301,152450.0,47945,Tallahassee,Florida,30.4353912097532,-84.25398755890575
2010,32501,108600.0,53856,Pensacola,Florida,30.42475606793003,-87.22701095714285
2010,32533,140150.0,37738,Cantonment,Florida,30.577317376504578,-87.31633406605681
2010,32541,272500.0,11102,Destin,Florida,30.39413905681342,-86.45672449916142
2010,32550,275750.0,36173,Miramar Beach,Florida,30.384095395366675,-86.34967973278613
2010,32561,219150.0,5013,Gulf Breeze,Florida,30.35699449927711,-87.15923413052208
2010,32566,179900.0,42657,Navarre,Florida,30.416799859507524,-86.84068253466485
2010,32570,112850.0,5972,Milton,Florida,30.670130181452144,-87.059047420099
2010,32578,210650.0,40018,Niceville,Florida,30.48962293083004,-86.43103941926877
2010,32601,136600.0,24821,Gainesville,Florida,29.663318623719675,-82.33866141873315
2010,32703,104650.0,50741,Apopka,Florida,28.66311634923729,-81.50531055094281
2010,32707,85700.0,51302,Casselberry,Florida,28.65716386885246,-81.31650010942623
2010,32725,71350.0,24359,Deltona,Florida,28.902969677712004,-81.24553359908387
2010,32746,182100.0,32390,Lake Mary,Florida,28.766880884313725,-81.35396444575163
2010,32750,124400.0,25646,Longwood,Florida,28.70638897118644,-81.34720501440678
2010,32763,74750.0,6333,Orange City,Florida,28.94349372976865,-81.29883512707424
2010,32765,171700.0,6365,Oviedo,Florida,28.6512299626556,-81.21583951701245
2010,32778,111450.0,47954,Tavares,Florida,28.7895991284951,-81.73622212778272
2010,32789,149900.0,123944,Citrus Park,Florida,28.598904590580148,-81.34961935530625
2010,32801,83100.0,13121,Orlando,Florida,28.54301509869281,-81.3764156993464
2010,32922,61350.0,10889,Cocoa,Florida,28.36490084552058,-80.7412262251816
2010,32937,170150.0,20367,Satellite Beach,Florida,28.169297191610735,-80.59764062667784
2010,32951,247500.0,32805,Melbourne Beach,Florida,28.010475417647054,-80.53231087941177
